feature,importance
morgan_650,300.8
morgan_1873,283.6
morgan_314,226.79999999999998
morgan_1380,220.60000000000002
morgan_935,214.60000000000002
morgan_1917,195.8
morgan_1152,150.4
morgan_378,146.6
morgan_725,145.20000000000002
morgan_80,144.8
morgan_926,135.8
morgan_1019,126.80000000000001
morgan_1114,124.6
morgan_674,122.8
morgan_1060,118.0
morgan_656,114.0
morgan_623,105.0
morgan_695,104.00000000000001
morgan_1691,102.80000000000001
morgan_715,95.4
morgan_1004,87.4
morgan_547,80.0
morgan_694,78.0
morgan_1535,77.2
morgan_881,75.19999999999999
morgan_287,74.8
morgan_1855,74.0
morgan_807,72.60000000000001
morgan_1171,72.2
morgan_803,70.6
morgan_1274,70.6
morgan_1145,70.0
morgan_1057,67.6
morgan_750,67.19999999999999
morgan_1781,66.2
morgan_1257,66.0
morgan_260,66.0
morgan_1164,60.0
morgan_1452,60.0
morgan_1294,59.800000000000004
morgan_611,58.60000000000001
morgan_1017,58.60000000000001
morgan_1915,58.0
morgan_1866,57.800000000000004
morgan_751,54.599999999999994
morgan_1292,54.0
morgan_1020,54.0
morgan_370,53.8
morgan_283,52.2
morgan_1083,50.4
morgan_1457,50.199999999999996
morgan_862,49.8
morgan_1063,48.400000000000006
morgan_114,48.2
morgan_1693,47.99999999999999
morgan_196,47.800000000000004
morgan_508,47.8
morgan_1136,47.00000000000001
morgan_1009,46.400000000000006
morgan_441,46.4
morgan_140,46.39999999999999
morgan_231,46.39999999999999
morgan_256,45.599999999999994
morgan_492,45.4
morgan_27,45.2
morgan_1163,43.6
morgan_276,42.0
morgan_1325,41.599999999999994
morgan_1088,41.2
morgan_84,40.800000000000004
morgan_1181,40.8
morgan_1,40.0
morgan_1309,39.99999999999999
morgan_1629,38.6
morgan_225,38.6
morgan_1162,38.4
morgan_531,37.6
morgan_679,37.6
morgan_519,37.6
morgan_106,37.599999999999994
morgan_1839,37.2
morgan_88,36.800000000000004
morgan_74,36.6
morgan_1282,36.4
morgan_1306,36.4
morgan_918,36.2
morgan_1288,36.0
morgan_1104,36.0
morgan_585,35.800000000000004
morgan_301,34.800000000000004
morgan_1750,34.4
morgan_281,34.2
morgan_1070,34.0
morgan_1028,33.8
morgan_1722,33.4
morgan_1128,32.800000000000004
morgan_151,32.4
morgan_1453,31.6
morgan_787,31.0
morgan_1604,31.0
morgan_1446,30.8
morgan_636,30.6
morgan_1035,30.0
morgan_1946,29.799999999999997
morgan_1034,29.199999999999996
morgan_497,29.0
morgan_854,28.799999999999997
morgan_1226,28.599999999999998
morgan_1154,28.400000000000002
morgan_1160,28.4
morgan_1384,28.0
morgan_392,27.999999999999996
morgan_1296,27.4
morgan_959,27.2
morgan_294,27.2
morgan_790,27.199999999999996
morgan_1071,26.799999999999997
morgan_785,26.799999999999997
morgan_1511,26.6
morgan_1859,26.0
morgan_916,25.8
morgan_43,25.6
morgan_1526,25.6
morgan_884,25.4
morgan_1980,25.2
morgan_503,25.0
morgan_430,24.999999999999996
morgan_739,24.8
morgan_1119,24.8
morgan_1813,24.6
morgan_1928,24.400000000000002
morgan_970,24.400000000000002
morgan_542,24.4
morgan_57,24.200000000000003
morgan_245,24.200000000000003
morgan_1430,24.2
morgan_1919,24.0
morgan_1758,23.6
morgan_1575,23.6
morgan_980,23.6
morgan_1665,23.6
morgan_794,23.4
morgan_669,23.4
morgan_1349,23.2
morgan_1256,23.000000000000004
morgan_1960,22.8
morgan_1224,22.799999999999997
morgan_974,22.6
morgan_747,22.400000000000002
morgan_2004,22.200000000000003
morgan_362,22.000000000000004
morgan_1832,21.6
morgan_457,21.6
morgan_218,21.0
morgan_369,20.8
morgan_910,20.8
morgan_1603,20.799999999999997
morgan_1602,20.6
morgan_380,20.6
morgan_978,20.6
morgan_1577,20.599999999999998
morgan_1911,20.4
morgan_1391,20.4
morgan_183,20.4
morgan_682,20.2
morgan_608,20.2
morgan_1576,20.0
morgan_1440,20.0
morgan_1921,20.0
morgan_23,20.0
morgan_609,19.8
morgan_489,19.6
morgan_713,19.6
morgan_473,19.6
morgan_472,19.6
morgan_1468,19.599999999999998
morgan_1974,19.4
morgan_96,19.4
morgan_2035,19.200000000000003
morgan_523,19.2
morgan_271,19.2
morgan_296,19.0
morgan_566,19.0
morgan_1538,19.0
morgan_576,19.0
morgan_99,18.8
morgan_397,18.8
morgan_285,18.6
morgan_821,18.6
morgan_1219,18.6
morgan_553,18.6
morgan_1459,18.6
morgan_1416,18.599999999999998
morgan_875,18.599999999999998
morgan_1840,18.599999999999998
morgan_56,18.400000000000002
morgan_1089,18.400000000000002
morgan_2007,18.400000000000002
morgan_1777,18.200000000000003
morgan_1956,17.8
morgan_13,17.8
morgan_1657,17.799999999999997
morgan_1303,17.799999999999997
morgan_1300,17.6
morgan_1129,17.6
morgan_1168,17.599999999999998
morgan_147,17.400000000000002
morgan_62,17.400000000000002
morgan_1593,17.400000000000002
morgan_733,17.400000000000002
morgan_45,17.4
morgan_293,17.4
morgan_1312,17.2
morgan_413,17.2
morgan_349,17.2
morgan_1450,17.0
morgan_1204,17.0
morgan_1386,17.0
morgan_1015,16.8
morgan_1487,16.8
morgan_1685,16.8
morgan_1432,16.8
morgan_1369,16.8
morgan_1523,16.8
morgan_1803,16.8
morgan_504,16.799999999999997
morgan_303,16.6
morgan_1531,16.6
morgan_1872,16.6
morgan_405,16.6
morgan_367,16.599999999999998
morgan_1794,16.599999999999998
morgan_868,16.400000000000002
morgan_924,16.4
morgan_878,16.4
morgan_312,16.4
morgan_1799,16.200000000000003
morgan_249,16.2
morgan_1333,16.2
morgan_2009,16.2
morgan_1609,16.2
morgan_1480,16.2
morgan_655,16.2
morgan_274,16.0
morgan_372,16.0
morgan_478,16.0
morgan_622,15.999999999999998
morgan_494,15.999999999999998
morgan_91,15.8
morgan_171,15.8
morgan_1503,15.8
morgan_1884,15.8
morgan_1210,15.8
morgan_915,15.8
morgan_1261,15.799999999999999
morgan_145,15.600000000000001
morgan_1979,15.600000000000001
morgan_1653,15.600000000000001
morgan_1170,15.400000000000002
morgan_895,15.4
morgan_1134,15.4
morgan_1950,15.399999999999999
morgan_248,15.200000000000001
morgan_989,15.2
morgan_29,15.2
morgan_383,15.2
morgan_228,15.2
morgan_909,15.2
morgan_490,15.2
morgan_1209,15.2
morgan_1868,15.000000000000002
morgan_670,15.000000000000002
morgan_267,15.0
morgan_1620,15.0
morgan_358,15.0
morgan_1476,15.0
morgan_1234,14.8
morgan_477,14.8
morgan_1642,14.8
morgan_92,14.8
morgan_524,14.8
morgan_1829,14.6
morgan_343,14.400000000000002
morgan_34,14.4
morgan_1507,14.4
morgan_941,14.4
